"key","en"
"labels_remarks","Remarks"
"labels_image","Image"
"labels_completed","Completed"
"labels_inprogress","In Progress"
"labels_submitted","Submitted"
"labels_notApplicable","NA"
"labels_readytoPublish","Ready to Publish"
"labels_files","Files"
"labels_languages","Languages"
"labels_totalScore","Total score"
"labels_scoreAchieved","Score achieved"
"labels_totalObservations","Total Observations"
"languages_english","English"
"languages_hindi","हिंदी"
"languages_telugu","తెలుగు"
"languages_malayalam","മലയാളം"
"languages_tamil","தமிழ்"
"languages_kannada","ಕನ್ನಡ"
"languages_gujarati","ગુજરાતી"
"message_noReportsFound","No reports found"
"message_noSubmission","No Submissions"
"message_startSearchSchool","search school"
"message_noSchoolFound","No Schools Found"
"message_searchEntities","Search for entities"
"message_startSearchSolution","Search for solutions"
"message_dontCloseApp","Please don't close the app or go back."
"message_of","of"
"message_noProgram","No Program"
"message_program","Program"
"message_images","Images"
"message_startSearchEntity","Start typing entity name"
"message_uploading","Uploading"
"message_completeObservation","Are you sure you want to mark this observation as complete?"
"message_restrictAction","Further you won't be able to do any kind of action."
"message_noQuestionAvailable"," No questions available"
"message_noDraft","No Drafts"
"message_noEntity","No Entity"
"message_no","No"
"message_noSolutionFound","No Solutions"
"message_noProgramsFound","No Programs found."
"message_deleteObservation","Are you sure you want to delete the observation?"
"message_confirmDeleteObservation","You will not see this observation anymore. Do you wish to delete?"
"message_viewAll","View all"
"message_noUnreadNotifications","You have no new Notifications!"
"message_noObservationfound","No observation found"
"toastMessage_selectSolution","Select a Solution"
"toastMessage_selectObservationType","Select a observation Type"
"toastMessage_networkDisconnected","NetWork Disconnected"
"toastMessage_networkConnected","Network Connected"
"toastMessage_ok","OK"
"toastMessage_allValueAreMandatory","Fill Mandatory Field"
"toastMessage_enableInternet","Please enable your internet connection to continue."
"toastMessage_connectToInternet","Please connect to internet "
"toastMessage_networkConnectionForAction","You need network connection for this action."
"toastMessage_noPermissionToPage","You dont have permission to view this page."
"toastMessage_someThingWentWrong","Something went Wrong."
"toastMessage_someThingWentWrongTryLater","Something went Wrong , Please Try after sometime."
"toastMessage_enableToGetGoogleUrls","Unable to get google urls"
"toastMessage_submissionCompleted","Submission completed successfully"
"toastMessage_errorGettingLoaction","Error in getting location"
"toastMessage_fillAllFields","Please fill all the fields"
"toastMessage_loginAgain","Please login again."
"toastMessage_userNameMisMatch","Username didnot match. Please login again."
"toastMessage_loactionForAction","Location should be turned on for this action."
"toastMessage_questionResponseNotRequiredForCompleteAssessment","This questions response is not required to complete the assessment."
